機構名稱,招標專頁網址,分類,連結狀態,最近期活動紀錄,備註
新大嶼山巴士(1973)有限公司 (New Lantao Bus Company (1973) Limited),https://www.nlb.com.hk/news/tender,公共事業,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|新大嶼山巴士官網設有「招標通告」專頁,已驗證現正列出二手單層巴士採購標書(NLB/A/0038/2026/VP)。標書以車輛及設備採購為主,marketing 類罕見,但屬有公開招標頁嘅專營巴士公司,可低頻監察。"
新渡輪服務有限公司 (Sun Ferry Services Company Limited),https://www.sunferry.com.hk/en/sun-ferry/news-update,公共事業,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|新渡輪冇獨立招標欄目,招標公告以「最新消息 News Update」形式喺官網發布(已驗證實例:電動渡輪建造標書 /news-update/tender-invitation-for-the-design-and-construction-of-one-1-electric-ferry/68、閘機及售票機系統標書 /news-update/tender-notice/148)。標書主要屬船隻建造、票務系統、保安服務等營運類,marketing 類少,但屬公開招標營辦商,可低頻監察。"
亞洲國際博覽館管理有限公司 (AsiaWorld-Expo Management Limited),https://www.asiaworld-expo.com/en-us/about-us/tender-n-notices/,公營機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|政府係大股東嘅展覽場館公司。官方 Invitation to Tender 專頁已驗證,採用 ePROS 電子招標系統 (epros.hkiashl.com),新供應商可網上登記後接收招標通知。大型展覽/演唱會場館有市場推廣、活動製作、餐飲設施等採購需求,值得登記監察。"
強制性公積金計劃管理局(積金局) (Mandatory Provident Fund Schemes Authority (MPFA)),https://www.mpfa.org.hk/en/mpfa/approved-supplier-lists,公營機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|積金局無獨立公開招標公告頁,採購以「認可供應商名單」(Approved Supplier Lists) 邀請報價/投標為主,共 11 個供應商類別,此頁為其官方採購專頁(已驗證);大型項目(如 eMPF 平台)會公開發出 RFP 並喺新聞稿公布。積金局每年有大量公眾教育及宣傳活動(積金易推廣、退休策劃教育),想接單必先登記做認可供應商,值得監察。"
旅遊業監管局 (Travel Industry Authority (TIA)),https://www.tia.org.hk/en/information-centre/tender.html,公營機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|法定旅遊業規管機構。官方「招標」專頁已驗證(中文版 /tc/information-centre/tender.html),過往標書以 IT 系統為主(如 e-Levy App 支援維護),間中有業界/公眾教育宣傳項目,標書量唔多但頁面簡單易監察。"
機場保安有限公司 (Aviation Security Company Limited (AVSECO)),https://www.avseco.com.hk/en/procurement/tenders,公營機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|機管局同政府持股嘅機場保安公司。官方「Selling to AVSECO」Tender Notice 專頁已驗證,定期公開招標(制服、清潔、IT 基建、內聯網等)。marketing 類標書少,但屬活躍嘅公營招標頁,間中有招聘宣傳/內部傳訊相關項目。"
港深創新及科技園有限公司 (Hong Kong-Shenzhen Innovation and Technology Park Limited (HSITP)),https://www.hsitp.org/en/tender-notices,公營機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|政府全資公司(河套區創科園)。Tender Notices 專頁已驗證,現時列有「Event and PR Management Services for HSITP Signature Event」招標(2026年7月15日截標),證明除工程、租務外會公開招 event/PR/推廣服務。園區陸續開幕,活動同宣傳類標書可望持續出現。"
物流及供應鏈多元技術研發中心 (Logistics and Supply Chain MultiTech R&D Centre (LSCM)),https://lscm.hk/en/about/open_tender/,公營機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|政府創新及科技基金資助嘅研發中心。官方 Tender Notice 專頁已驗證,分 Opening Tender / Closed Tender 兩欄。標書以科技研發、系統開發為主,LSCM 每年辦 Logistics Summit 等活動,偶有活動製作需求,可低頻監察。"
立法會行政管理委員會(立法會秘書處) (The Legislative Council Commission),https://www.legco.gov.hk/en/about-legco/tender-notices.html,公營機構,正常,"[2026-07-14] 新增機構,待首次掃描","⭐ 低相關|立法會官方 Tender Notices 專頁已驗證(近期曾招標電視廣播系統維護)。標書以大樓設施、廣播、IT 為主,偶有出版、教育推廣同導賞活動相關項目,marketing 相關性較低但屬易監察嘅公營招標頁。"
職業安全健康局(職安局) (Occupational Safety and Health Council (OSHC)),https://www.oshc.org.hk/eng/main/about_us/suppliers_registration/,公營機構,受阻,"[2026-07-14] 新增機構,待首次掃描","⭐⭐ 中相關|WebFetch 兩次回傳 503,但用 curl 成功讀取頁面全文,確認係官方 Suppliers Registration 採購專頁:職安局維持供應商名單「for procurement and issuing tender」,供應商登記後獲邀投標。職安局全年推行大量宣傳活動(工作安全推廣月、頒獎禮、Heart Caring Campaign、青年職安健推廣等),宣傳、製作、活動策劃需求多,建議登記入供應商名單以接收投標邀請。"
