發現日期,機構名稱,標書項目名稱,截標日期,連結,來源
"2026-08-23 09:56","香港科學園 (HKSTP)","enquiry.marketing@hkstp.org","未知(未經AI判斷)","mailto:enquiry.marketing@hkstp.org","全量掃描"
"2026-08-23 09:56","香港科學園 (HKSTP)","Promotion of Racial Equality Checklist of Measures","未知(未經AI判斷)","https://www.hkstp.org/en/racial-equality","全量掃描"
"2026-08-23 09:56","市區重建局 (市建局)","市建局20周年短片系列：「建城 • 見情」","未知(未經AI判斷)","https://www.ura.org.hk/tc/news-centre/urban-renewal-tv-series/ura-20th-anniversary-video-series-building-community-beyond-urban-renewal","全量掃描"
"2026-08-23 09:56","香港房屋委員會 (房委會)","Promotion Venues and Kiosks","未知(未經AI判斷)","https://www.housingauthority.gov.hk/en/commercial-properties/leasing-information/promotion-venues/index.html","全量掃描"
"2026-08-23 09:56","香港房屋委員會 (房委會)","Campaign Archive","未知(未經AI判斷)","https://www.housingauthority.gov.hk/en/about-us/community-engagement/campaign-archive/index.html","全量掃描"
"2026-08-23 09:56","建築業議會 (CIC)","香港建造業推廣計劃","未知(未經AI判斷)","https://constructionhk.org/tc","全量掃描"
"2026-08-23 09:56","香港設計中心 (HKDC)","https://bit.ly/HKDC_RFP_DigitalMarketingServices_updated","未知(未經AI判斷)","https://bit.ly/HKDC_RFP_DigitalMarketingServices_updated","全量掃描"
"2026-08-23 09:56","香港設計中心 (HKDC)","https://bit.ly/HKDC_RFP_ChineseMainlandDigitalMarketingServices","未知(未經AI判斷)","https://bit.ly/HKDC_RFP_ChineseMainlandDigitalMarketingServices","全量掃描"
"2026-08-23 09:56","香港設計中心 (HKDC)","Call for Proposal - Creative Marketing & PR Services for Digital Fashion Exhibition @ Hong Kong Fashion Fest 2025","未知(未經AI判斷)","https://hkdcentre-my.sharepoint.com/:f:/g/personal/zoe_chan_hkdesigncentre_org/ErqbegELOK1Np3-coB68Y7EBKFYBod8QBqspcOgWeUcTtQ?e=GmX7yR","全量掃描"
"2026-08-23 09:56","僱員再培訓局 (ERB)","Promotional Leaflets and Advertisements","未知(未經AI判斷)","https://www.erb.org/en/corporate-information/publications/promotional-leaflets-and-advertisements","全量掃描"
"2026-08-23 09:56","投委會 (IFEC)","Campaigns & activities","未知(未經AI判斷)","https://www.ifec.org.hk/web/en/other-resources/activities-and-events/index.page","全量掃描"
